time,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
1,10.00,0.00,0.00,inf,0.00,584.23,0.00,0.00,0.00
2,10.00,0.00,0.00,inf,0.00,584.23,0.00,0.00,0.00
3,9.99,0.00,50.00,inf,50.00,584.23,0.00,0.00,0.00
4,9.97,0.00,50.00,inf,50.00,584.23,0.00,0.00,0.00
5,9.96,0.00,50.00,inf,50.00,584.23,0.00,0.00,0.00
6,9.94,0.00,50.00,inf,50.00,584.23,0.00,0.00,0.00
7,9.93,0.00,50.00,inf,50.00,584.23,0.00,0.00,0.00
8,9.92,0.00,50.00,inf,50.00,584.23,0.00,0.00,0.00
9,9.90,0.00,50.00,inf,50.00,584.23,0.00,0.00,0.00
10,9.89,0.00,50.00,inf,50.00,584.23,0.00,0.00,0.00
11,9.87,0.00,50.00,inf,50.00,584.23,0.00,0.00,0.00
12,9.86,0.00,50.00,inf,50.00,584.23,0.00,0.00,0.00
13,9.85,0.00,50.00,inf,50.00,584.23,0.00,0.00,0.00
14,9.83,0.00,50.00,inf,50.00,584.23,0.00,0.00,0.00
15,9.82,0.00,50.00,inf,50.00,584.23,0.00,0.00,0.00
16,9.81,0.00,50.00,inf,50.00,574.70,0.00,0.00,0.00
17,9.79,0.00,50.00,inf,50.00,574.70,0.00,0.00,0.00
18,9.78,0.00,50.00,inf,50.00,574.70,0.00,0.00,0.00
19,9.76,0.00,50.00,inf,50.00,574.70,0.00,0.00,0.00
20,9.75,0.00,50.00,inf,50.00,574.70,0.00,0.00,0.00
21,9.74,0.00,50.00,inf,50.00,574.70,0.00,0.00,0.00
22,9.72,0.00,50.00,inf,50.00,574.70,0.00,0.00,0.00
23,9.71,0.00,50.00,inf,50.00,574.70,0.00,0.00,0.00
24,9.69,0.00,50.00,inf,50.00,574.70,0.00,0.00,0.00
25,9.68,0.00,50.00,inf,50.00,574.70,0.00,0.00,0.00
26,9.67,0.00,50.00,inf,50.00,574.70,0.00,0.00,0.00
27,9.65,0.00,50.00,inf,50.00,574.70,0.00,0.00,0.00
28,9.64,0.00,50.00,inf,50.00,574.70,0.00,0.00,0.00
29,9.62,0.00,50.00,inf,50.00,574.70,0.00,0.00,0.00
30,9.61,0.00,50.00,inf,50.00,574.70,0.00,0.00,0.00
31,9.60,0.00,50.00,inf,50.00,545.67,0.00,0.00,0.00
32,9.58,0.00,50.00,inf,50.00,545.67,0.00,0.00,0.00
33,9.57,0.00,50.00,inf,50.00,545.67,0.00,0.00,0.00
34,9.56,0.00,50.00,inf,50.00,545.67,0.00,0.00,0.00
35,9.54,0.00,50.00,inf,50.00,545.67,0.00,0.00,0.00
36,9.53,0.00,50.00,inf,50.00,545.67,0.00,0.00,0.00
37,9.51,0.00,50.00,inf,50.00,545.67,0.00,0.00,0.00
38,9.50,0.00,50.00,inf,50.00,545.67,0.00,0.00,0.00
39,9.49,0.00,50.00,inf,50.00,545.67,0.00,0.00,0.00
40,9.47,0.00,50.00,inf,50.00,545.67,0.00,0.00,0.00
41,9.46,0.00,50.00,inf,50.00,545.67,0.00,0.00,0.00
42,9.44,0.00,50.00,inf,50.00,545.67,0.00,0.00,0.00
43,9.43,0.00,50.00,inf,50.00,545.67,0.00,0.00,0.00
44,9.42,0.00,50.00,inf,50.00,545.67,0.00,0.00,0.00
45,9.42,0.00,0.00,inf,50.00,545.67,-151.67,201.67,-82760.20s    
