0,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
1,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
2,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
3,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
4,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
5,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
6,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
7,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
8,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
9,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
10,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
11,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
12,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
13,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
14,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
15,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
16,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
17,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
18,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
19,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
20,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
21,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
22,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
23,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
24,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
25,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
26,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
27,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
28,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
29,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
30,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
31,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
32,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
33,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
34,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
35,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
36,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
37,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
38,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
39,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
40,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
41,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
42,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
43,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
44,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
45,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
46,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
47,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
48,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
49,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
50,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
51,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
52,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
53,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
54,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
55,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
56,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
57,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
58,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
59,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
60,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
61,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
62,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
63,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
64,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
65,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
66,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
67,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
68,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
69,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
70,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
71,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
72,4.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
