time,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
1,10.00,0.00,0.00,inf,0.00,500.00,-1000.00,1000.00,-500000.00
2,10.00,0.00,0.00,inf,0.00,500.00,-1000.00,1000.00,-500000.00
3,10.00,0.00,0.00,inf,0.00,500.00,-1000.00,1000.00,-500000.00
4,10.00,0.00,0.00,inf,0.00,500.00,-1000.00,1000.00,-500000.00
5,10.00,0.00,0.00,inf,0.00,500.00,-1000.00,1000.00,-500000.00
6,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
7,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
8,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
9,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
10,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
11,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
12,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
13,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
14,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
15,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
16,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
17,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
18,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
19,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
20,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
21,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
22,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
23,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
24,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
25,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
26,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
27,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
28,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
29,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
30,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
31,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
32,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
33,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
34,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
35,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
36,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
37,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
38,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
39,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
40,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
41,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
42,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
43,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
44,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
45,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
46,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
47,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
48,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
49,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
50,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
51,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
52,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
53,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
54,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
55,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
56,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
57,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
58,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
59,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
60,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
61,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
62,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
63,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
64,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
65,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
66,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
67,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
68,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
69,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
70,10.00,0.00,0.00,inf,50.00,500.00,-950.00,1000.00,-475000.00
