time,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
1,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
2,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
3,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
4,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
5,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
6,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
7,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
8,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
9,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
10,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
11,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
12,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
13,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
14,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
15,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
16,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
17,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
18,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
19,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
20,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
21,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
22,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
23,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
24,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
25,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
26,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
27,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
28,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
29,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
30,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
31,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
32,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
33,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
34,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
35,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
36,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
37,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
38,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
39,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
40,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
41,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
42,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
43,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
44,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
45,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
46,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
47,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
48,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
49,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
50,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
51,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
52,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
53,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
54,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
55,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
56,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
57,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
58,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
59,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
60,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
61,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
62,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
63,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
64,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
65,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
66,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
67,14400.0,0.0,0.0,inf,50.0,500.0,-950.0,1000.0,-475000.0
