0,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
1,10.00,0.00,0.00,inf,50.00,584.23,-222.00,272.00,-129698.39
2,10.00,0.00,0.00,inf,50.00,584.23,-2116.00,2166.00,-1236224.27
3,10.00,0.00,0.00,inf,50.00,584.23,-3350.33,3400.33,-1957355.10
4,10.00,0.00,0.00,inf,50.00,584.23,-1440.67,1490.67,-841676.33
5,10.00,0.00,0.00,inf,50.00,584.23,-3139.67,3189.67,-1834277.95
6,10.00,0.00,0.00,inf,50.00,584.23,-722.00,772.00,-421811.87
7,10.00,0.00,0.00,inf,50.00,584.23,-1721.33,1771.33,-1005649.36
8,10.00,0.00,0.00,inf,50.00,584.23,-574.67,624.67,-335735.77
9,10.00,0.00,0.00,inf,50.00,584.23,-3237.67,3287.67,-1891532.19
10,10.00,0.00,0.00,inf,50.00,584.23,-1652.00,1702.00,-965142.96
11,10.00,0.00,0.00,inf,50.00,584.23,-382.00,432.00,-223174.70
12,10.00,0.00,0.00,inf,50.00,584.23,-2851.67,2901.67,-1666020.58
13,10.00,0.00,0.00,inf,50.00,584.23,-1381.67,1431.67,-807206.93
14,10.00,0.00,0.00,inf,50.00,584.23,-1652.00,1702.00,-965142.96
15,10.00,0.00,0.00,inf,50.00,584.23,-1704.33,1754.33,-995717.50
16,10.00,0.00,0.00,inf,50.00,574.70,-930.33,980.33,-534663.99
17,10.00,0.00,0.00,inf,50.00,574.70,-1401.00,1451.00,-805156.85
18,10.00,0.00,0.00,inf,50.00,574.70,-905.67,955.67,-520488.02
19,10.00,0.00,0.00,inf,50.00,574.70,-497.00,547.00,-285626.66
20,10.00,0.00,0.00,inf,50.00,574.70,-2021.67,2071.67,-1161854.93
21,10.00,0.00,0.00,inf,50.00,574.70,-1574.00,1624.00,-904580.21
22,10.00,0.00,0.00,inf,50.00,574.70,-2480.67,2530.67,-1425642.94
23,10.00,0.00,0.00,inf,50.00,574.70,-916.00,966.00,-526426.60
24,10.00,0.00,0.00,inf,50.00,574.70,-1976.33,2026.33,-1135801.80
25,10.00,0.00,0.00,inf,50.00,574.70,-3046.33,3096.33,-1750732.44
26,10.00,0.00,0.00,inf,50.00,574.70,-1236.33,1286.33,-710522.66
27,10.00,0.00,0.00,inf,50.00,574.70,-944.67,994.67,-542901.38
28,10.00,0.00,0.00,inf,50.00,574.70,-443.00,493.00,-254592.78
29,10.00,0.00,0.00,inf,50.00,574.70,-1731.67,1781.67,-995191.49
30,10.00,0.00,0.00,inf,50.00,574.70,-765.67,815.67,-440029.81
31,10.00,0.00,0.00,inf,50.00,545.67,-3436.33,3486.33,-1875109.58
32,10.00,0.00,0.00,inf,50.00,545.67,-1948.00,1998.00,-1062968.32
33,10.00,0.00,0.00,inf,50.00,545.67,-668.67,718.67,-364872.42
34,10.00,0.00,0.00,inf,50.00,545.67,-1871.00,1921.00,-1020951.60
35,10.00,0.00,0.00,inf,50.00,545.67,-790.67,840.67,-431444.36
36,10.00,0.00,0.00,inf,50.00,545.67,-2033.33,2083.33,-1109532.30
37,10.00,0.00,0.00,inf,50.00,545.67,-400.33,450.33,-218450.54
38,10.00,0.00,0.00,inf,50.00,545.67,-948.67,998.67,-517660.48
39,10.00,0.00,0.00,inf,50.00,545.67,-875.33,925.33,-477644.56
40,10.00,0.00,0.00,inf,50.00,545.67,-1171.00,1221.00,-638981.47
41,10.00,0.00,0.00,inf,50.00,545.67,-1300.67,1350.67,-709736.89
42,10.00,0.00,0.00,inf,50.00,545.67,-1246.00,1296.00,-679906.84
43,10.00,0.00,0.00,inf,50.00,545.67,-1658.33,1708.33,-904905.44
44,10.00,0.00,0.00,inf,50.00,545.67,-1835.33,1885.33,-1001489.32
45,10.00,0.00,0.00,inf,50.00,545.67,-1661.33,1711.33,-906542.45
46,10.00,0.00,0.00,inf,50.00,574.70,-2017.67,2067.67,-1159556.13
47,10.00,0.00,0.00,inf,50.00,574.70,-3185.33,3235.33,-1830615.95
48,10.00,0.00,0.00,inf,50.00,574.70,-1635.67,1685.67,-940020.14
49,10.00,0.00,0.00,inf,50.00,574.70,-2282.33,2332.33,-1311660.47
50,10.00,0.00,0.00,inf,50.00,574.70,-1652.00,1702.00,-949406.93
51,10.00,0.00,0.00,inf,50.00,574.70,-373.33,423.33,-214555.24
52,10.00,0.00,0.00,inf,50.00,574.70,-726.33,776.33,-417424.88
53,10.00,0.00,0.00,inf,50.00,574.70,-513.33,563.33,-295013.45
54,10.00,0.00,0.00,inf,50.00,574.70,-2087.67,2137.67,-1199785.23
55,10.00,0.00,0.00,inf,50.00,574.70,-365.00,415.00,-209766.06
56,10.00,0.00,0.00,inf,50.00,574.70,-1736.67,1786.67,-998065.00
57,10.00,0.00,0.00,inf,50.00,574.70,-1142.67,1192.67,-656692.28
58,10.00,0.00,0.00,inf,50.00,574.70,-2303.67,2353.67,-1323920.76
59,10.00,0.00,0.00,inf,50.00,574.70,-2176.33,2226.33,-1250742.10
60,10.00,0.00,0.00,inf,50.00,574.70,-686.67,736.67,-394628.39
61,10.00,0.00,0.00,inf,50.00,545.67,-1334.67,1384.67,-728289.72
62,10.00,0.00,0.00,inf,50.00,545.67,-1731.67,1781.67,-944921.36
63,10.00,0.00,0.00,inf,50.00,545.67,-399.67,449.67,-218086.76
64,10.00,0.00,0.00,inf,50.00,545.67,-2300.00,2350.00,-1255044.73
65,10.00,0.00,0.00,inf,50.00,545.67,-578.00,628.00,-315398.20
66,10.00,0.00,0.00,inf,50.00,545.67,-1349.00,1399.00,-736111.02
67,10.00,0.00,0.00,inf,50.00,545.67,-2131.00,2181.00,-1162826.22
68,10.00,0.00,0.00,inf,50.00,545.67,-1588.67,1638.67,-866890.32
69,10.00,0.00,0.00,inf,50.00,545.67,-467.33,517.33,-255010.54
70,10.00,0.00,0.00,inf,50.00,545.67,-425.33,475.33,-232092.33
71,10.00,0.00,0.00,inf,50.00,545.67,-1269.67,1319.67,-692821.07
