time,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
1,540.0,0.0,0.0,inf,0.0,584.23,-272.0,272.0,-158909.74
2,540.0,0.0,0.0,inf,500.0,584.23,-1666.0,2166.0,-973322.14
3,540.0,0.0,0.0,inf,500.0,584.23,-2900.33,3400.33,-1694452.96
4,540.0,0.0,0.0,inf,500.0,584.23,-990.67,1490.67,-578774.19
5,540.0,0.0,0.0,inf,500.0,584.23,-2689.67,3189.67,-1571375.81
6,540.0,0.0,0.0,inf,500.0,584.23,-272.0,772.0,-158909.74
7,540.0,0.0,0.0,inf,500.0,584.23,-1271.33,1771.33,-742747.22
8,540.0,0.0,0.0,inf,500.0,584.23,-124.67,624.67,-72833.63
9,540.0,0.0,0.0,inf,500.0,584.23,-2787.67,3287.67,-1628630.06
10,540.0,0.0,0.0,inf,500.0,584.23,-1202.0,1702.0,-702240.82
11,468.0,0.0,68.0,inf,500.0,584.23,0.0,432.0,0.0
12,468.0,0.0,0.0,inf,500.0,584.23,-2401.67,2901.67,-1403118.45
13,468.0,0.0,0.0,inf,500.0,584.23,-931.67,1431.67,-544304.8
14,468.0,0.0,0.0,inf,500.0,584.23,-1202.0,1702.0,-702240.82
15,468.0,0.0,0.0,inf,500.0,584.23,-1254.33,1754.33,-732815.37
16,468.0,0.0,0.0,inf,500.0,574.7,-480.33,980.33,-276048.3
17,468.0,0.0,0.0,inf,500.0,574.7,-951.0,1451.0,-546541.16
18,468.0,0.0,0.0,inf,500.0,574.7,-455.67,955.67,-261872.33
19,468.0,0.0,0.0,inf,500.0,574.7,-47.0,547.0,-27010.97
20,468.0,0.0,0.0,inf,500.0,574.7,-1571.67,2071.67,-903239.24
21,468.0,0.0,0.0,inf,500.0,574.7,-1124.0,1624.0,-645964.52
22,468.0,0.0,0.0,inf,500.0,574.7,-2030.67,2530.67,-1167027.25
23,468.0,0.0,0.0,inf,500.0,574.7,-466.0,966.0,-267810.91
24,468.0,0.0,0.0,inf,500.0,574.7,-1526.33,2026.33,-877186.11
25,468.0,0.0,0.0,inf,500.0,574.7,-2596.33,3096.33,-1492116.75
26,468.0,0.0,0.0,inf,500.0,574.7,-786.33,1286.33,-451906.97
27,468.0,0.0,0.0,inf,500.0,574.7,-494.67,994.67,-284285.69
28,468.0,0.0,7.0,inf,500.0,574.7,0.0,493.0,0.0
29,468.0,0.0,0.0,inf,500.0,574.7,-1281.67,1781.67,-736575.8
30,468.0,0.0,0.0,inf,500.0,574.7,-315.67,815.67,-181414.12
31,468.0,0.0,0.0,inf,500.0,545.67,-2986.33,3486.33,-1629557.35
32,468.0,0.0,0.0,inf,500.0,545.67,-1498.0,1998.0,-817416.09
33,468.0,0.0,0.0,inf,500.0,545.67,-218.67,718.67,-119320.19
34,468.0,0.0,0.0,inf,500.0,545.67,-1421.0,1921.0,-775399.37
35,468.0,0.0,0.0,inf,500.0,545.67,-340.67,840.67,-185892.13
36,468.0,0.0,0.0,inf,500.0,545.67,-1583.33,2083.33,-863980.07
37,432.0,0.0,49.67,inf,500.0,545.67,0.0,450.33,0.0
38,432.0,0.0,0.0,inf,500.0,545.67,-498.67,998.67,-272108.25
39,432.0,0.0,0.0,inf,500.0,545.67,-425.33,925.33,-232092.33
40,432.0,0.0,0.0,inf,500.0,545.67,-721.0,1221.0,-393429.24
41,432.0,0.0,0.0,inf,500.0,545.67,-850.67,1350.67,-464184.66
42,432.0,0.0,0.0,inf,500.0,545.67,-796.0,1296.0,-434354.61
43,432.0,0.0,0.0,inf,500.0,545.67,-1208.33,1708.33,-659353.21
44,432.0,0.0,0.0,inf,500.0,545.67,-1385.33,1885.33,-755937.09
45,432.0,0.0,0.0,inf,500.0,545.67,-1211.33,1711.33,-660990.22
46,432.0,0.0,0.0,inf,500.0,574.7,-1567.67,2067.67,-900940.44
47,432.0,0.0,0.0,inf,500.0,574.7,-2735.33,3235.33,-1572000.26
48,432.0,0.0,0.0,inf,500.0,574.7,-1185.67,1685.67,-681404.45
49,432.0,0.0,0.0,inf,500.0,574.7,-1832.33,2332.33,-1053044.78
50,432.0,0.0,0.0,inf,500.0,574.7,-1202.0,1702.0,-690791.24
51,324.0,0.0,76.67,inf,500.0,574.7,0.0,423.33,0.0
52,324.0,0.0,0.0,inf,500.0,574.7,-276.33,776.33,-158809.19
53,324.0,0.0,0.0,inf,500.0,574.7,-63.33,563.33,-36397.76
54,324.0,0.0,0.0,inf,500.0,574.7,-1637.67,2137.67,-941169.54
55,252.00000000000003,0.0,85.0,inf,500.0,574.7,0.0,415.0,0.0
56,252.00000000000003,0.0,0.0,inf,500.0,574.7,-1286.67,1786.67,-739449.31
57,252.00000000000003,0.0,0.0,inf,500.0,574.7,-692.67,1192.67,-398076.6
58,252.00000000000003,0.0,0.0,inf,500.0,574.7,-1853.67,2353.67,-1065305.07
59,252.00000000000003,0.0,0.0,inf,500.0,574.7,-1726.33,2226.33,-992126.41
60,252.00000000000003,0.0,0.0,inf,500.0,574.7,-236.67,736.67,-136012.7
61,252.00000000000003,0.0,0.0,inf,500.0,545.67,-884.67,1384.67,-482737.49
62,252.00000000000003,0.0,0.0,inf,500.0,545.67,-1281.67,1781.67,-699369.13
63,216.0,0.0,50.33,inf,500.0,545.67,0.0,449.67,0.0
64,216.0,0.0,0.0,inf,500.0,545.67,-1850.0,2350.0,-1009492.5
65,216.0,0.0,0.0,inf,500.0,545.67,-128.0,628.0,-69845.97
66,216.0,0.0,0.0,inf,500.0,545.67,-899.0,1399.0,-490558.79
67,216.0,0.0,0.0,inf,500.0,545.67,-1681.0,2181.0,-917274.0
68,216.0,0.0,0.0,inf,500.0,545.67,-1138.67,1638.67,-621338.09
69,216.0,0.0,0.0,inf,500.0,545.67,-17.33,517.33,-9458.31
70,180.0,0.0,24.67,inf,500.0,545.67,0.0,475.33,0.0
71,180.0,0.0,0.0,inf,500.0,545.67,-819.67,1319.67,-447268.84
