PV
Date,P # [W]
2014-01-01 14:08:00, -1000.0
2014-01-01 14:08:01, -1000.0
2014-01-01 14:08:02, -1000.0
2014-01-01 14:08:03, -1000.0
2014-01-01 14:08:04, -1000.0
2014-01-01 14:08:05, -1000.0
2014-01-01 14:08:06, -1000.0
2014-01-01 14:08:07, -1000.0
2014-01-01 14:08:08, -1000.0
2014-01-01 14:08:09, -1000.0
2014-01-01 14:08:10, -1000.0
2014-01-01 14:08:11, -1000.0
2014-01-01 14:08:12, -1000.0
2014-01-01 14:08:13, -1000.0
2014-01-01 14:08:14, -1000.0
2014-01-01 14:08:15, -1000.0
2014-01-01 14:08:16, -1000.0
2014-01-01 14:08:17, -1000.0
2014-01-01 14:08:18, -1000.0
2014-01-01 14:08:19, -1000.0
2014-01-01 14:08:20, -1000.0
2014-01-01 14:08:21, -1000.0
2014-01-01 14:08:22, -1000.0
2014-01-01 14:08:23, -1000.0
2014-01-01 14:08:24, -1000.0
2014-01-01 14:08:25, -1000.0
2014-01-01 14:08:26, -1000.0
2014-01-01 14:08:27, -1000.0
2014-01-01 14:08:28, -1000.0
2014-01-01 14:08:29, -1000.0
2014-01-01 14:08:30, -1000.0
2014-01-01 14:08:31, -1000.0
2014-01-01 14:08:32, -1000.0
2014-01-01 14:08:33, -1000.0
2014-01-01 14:08:34, -1000.0
2014-01-01 14:08:35, -1000.0
2014-01-01 14:08:36, -1000.0
2014-01-01 14:08:37, -1000.0
2014-01-01 14:08:38, -1000.0
2014-01-01 14:08:39, -1000.0
2014-01-01 14:08:40, -1000.0
2014-01-01 14:08:41, -1000.0
2014-01-01 14:08:42, -1000.0
2014-01-01 14:08:43, -1000.0
2014-01-01 14:08:44, -1000.0
2014-01-01 14:08:45, -1000.0
2014-01-01 14:08:46, -1000.0
2014-01-01 14:08:47, -1000.0
2014-01-01 14:08:48, -1000.0
2014-01-01 14:08:49, -1000.0
2014-01-01 14:08:50, -1000.0
2014-01-01 14:08:51, -1000.0
2014-01-01 14:08:52, -1000.0
2014-01-01 14:08:53, -1000.0
2014-01-01 14:08:54, -1000.0
2014-01-01 14:08:55, -1000.0
2014-01-01 14:08:56, -1000.0
2014-01-01 14:08:57, -1000.0
2014-01-01 14:08:58, -1000.0
2014-01-01 14:08:59, -1000.0
2014-01-01 14:09:00, -1000.0
2014-01-01 14:09:01, -1000.0
2014-01-01 14:09:02, -1000.0
