PV
Date,P # [W]
2014-01-01 14:08:00, -272.0
2014-01-01 14:08:01, -2166.0
2014-01-01 14:08:02, -3400.33333333
2014-01-01 14:08:03, -1490.66666667
2014-01-01 14:08:04, -3189.66666667
2014-01-01 14:08:05, -772.0
2014-01-01 14:08:06, -1771.33333333
2014-01-01 14:08:07, -624.666666667
2014-01-01 14:08:08, -3287.66666667
2014-01-01 14:08:09, -1702.0
2014-01-01 14:08:10, -432.0
2014-01-01 14:08:11, -2901.66666667
2014-01-01 14:08:12, -1431.66666667
2014-01-01 14:08:13, -1702.0
2014-01-01 14:08:14, -1754.33333333
2014-01-01 14:08:15, -980.333333333
2014-01-01 14:08:16, -1451.0
2014-01-01 14:08:17, -955.666666667
2014-01-01 14:08:18, -547.0
2014-01-01 14:08:19, -2071.66666667
2014-01-01 14:08:20, -1624.0
2014-01-01 14:08:21, -2530.66666667
2014-01-01 14:08:22, -966.0
2014-01-01 14:08:23, -2026.33333333
2014-01-01 14:08:24, -3096.33333333
2014-01-01 14:08:25, -1286.33333333
2014-01-01 14:08:26, -994.666666667
2014-01-01 14:08:27, -493.0
2014-01-01 14:08:28, -1781.66666667
2014-01-01 14:08:29, -815.666666667
2014-01-01 14:08:30, -3486.33333333
2014-01-01 14:08:31, -1998.0
2014-01-01 14:08:32, -718.666666667
2014-01-01 14:08:33, -1921.0
2014-01-01 14:08:34, -840.666666667
2014-01-01 14:08:35, -2083.33333333
2014-01-01 14:08:36, -450.333333333
2014-01-01 14:08:37, -998.666666667
2014-01-01 14:08:38, -925.333333333
2014-01-01 14:08:39, -1221.0
2014-01-01 14:08:40, -1350.66666667
2014-01-01 14:08:41, -1296.0
2014-01-01 14:08:42, -1708.33333333
2014-01-01 14:08:43, -1885.33333333
2014-01-01 14:08:44, -1711.33333333
2014-01-01 14:08:45, -2067.66666667
2014-01-01 14:08:46, -3235.33333333
2014-01-01 14:08:47, -1685.66666667
2014-01-01 14:08:48, -2332.33333333
2014-01-01 14:08:49, -1702.0
2014-01-01 14:08:50, -423.333333333
2014-01-01 14:08:51, -776.333333333
2014-01-01 14:08:52, -563.333333333
2014-01-01 14:08:53, -2137.66666667
2014-01-01 14:08:54, -415.0
2014-01-01 14:08:55, -1786.66666667
2014-01-01 14:08:56, -1192.66666667
2014-01-01 14:08:57, -2353.66666667
2014-01-01 14:08:58, -2226.33333333
2014-01-01 14:08:59, -736.666666667
2014-01-01 14:09:00, -1384.66666667
2014-01-01 14:09:01, -1781.66666667
2014-01-01 14:09:02, -449.666666667
2014-01-01 14:09:03, -2350.0
2014-01-01 14:09:04, -628.0
2014-01-01 14:09:05, -1399.0
2014-01-01 14:09:06, -2181.0
2014-01-01 14:09:07, -1638.66666667
2014-01-01 14:09:08, -517.333333333
2014-01-01 14:09:09, -475.333333333
2014-01-01 14:09:10, -1319.66666667
2014-01-01 14:09:11, -513.666666667
2014-01-01 14:09:12, -2331.33333333
2014-01-01 14:09:13, -1596.33333333
2014-01-01 14:09:14, -1498.0
2014-01-01 14:09:15, -835.333333333
2014-01-01 14:09:16, -1375.33333333
2014-01-01 14:09:17, -870.666666667
2014-01-01 14:09:18, -966.0
2014-01-01 14:09:19, -1552.66666667
2014-01-01 14:09:20, -1721.0
2014-01-01 14:09:21, -1899.0
2014-01-01 14:09:22, -1084.66666667
2014-01-01 14:09:23, -2312.33333333
2014-01-01 14:09:24, -1712.0
2014-01-01 14:09:25, -2303.0
2014-01-01 14:09:26, -1707.66666667
2014-01-01 14:09:27, -1264.66666667
2014-01-01 14:09:28, -1651.33333333
2014-01-01 14:09:29, -1655.33333333
2014-01-01 14:09:30, -1947.0
2014-01-01 14:09:31, -2412.66666667
2014-01-01 14:09:32, -2343.33333333
2014-01-01 14:09:33, -1454.66666667
2014-01-01 14:09:34, -2269.33333333
2014-01-01 14:09:35, -929.666666667
2014-01-01 14:09:36, -1335.66666667
2014-01-01 14:09:37, -1342.33333333
2014-01-01 14:09:38, -1276.0
2014-01-01 14:09:39, -1889.0
2014-01-01 14:09:40, -1883.66666667
2014-01-01 14:09:42, -980.666666667
2014-01-01 14:09:43, -877.0
2014-01-01 14:09:44, -1830.66666667
2014-01-01 14:09:45, -1666.66666667
2014-01-01 14:09:46, -1703.66666667
2014-01-01 14:09:47, -1911.66666667
2014-01-01 14:09:48, -1474.0
