0,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
1,0.15,10.00,0.00,inf,500.00,584.23,238.00,272.00,139046.02
2,0.16,10.00,0.00,inf,500.00,584.23,-1656.00,2166.00,-967479.87
3,0.16,10.00,0.00,inf,500.00,584.23,-2890.33,3400.33,-1688610.69
4,0.16,10.00,0.00,inf,500.00,584.23,-980.67,1490.67,-572931.92
5,0.16,10.00,0.00,inf,500.00,584.23,-2679.67,3189.67,-1565533.54
6,0.17,10.00,0.00,inf,500.00,584.23,-262.00,772.00,-153067.47
7,0.17,10.00,0.00,inf,500.00,584.23,-1261.33,1771.33,-736904.95
8,0.17,10.00,0.00,inf,500.00,584.23,-114.67,624.67,-66991.36
9,0.17,10.00,0.00,inf,500.00,584.23,-2777.67,3287.67,-1622787.79
10,0.18,10.00,0.00,inf,500.00,584.23,-1192.00,1702.00,-696398.55
11,0.16,10.00,68.00,inf,500.00,584.23,10.00,432.00,5842.27
12,0.16,10.00,0.00,inf,500.00,584.23,-2391.67,2901.67,-1397276.18
13,0.17,10.00,0.00,inf,500.00,584.23,-921.67,1431.67,-538462.53
14,0.17,10.00,0.00,inf,500.00,584.23,-1192.00,1702.00,-696398.55
15,0.17,10.00,0.00,inf,500.00,584.23,-1244.33,1754.33,-726973.10
16,0.18,10.00,0.00,inf,500.00,574.70,-470.33,980.33,-270301.29
17,0.18,10.00,0.00,inf,500.00,574.70,-941.00,1451.00,-540794.14
18,0.18,10.00,0.00,inf,500.00,574.70,-445.67,955.67,-256125.32
19,0.18,10.00,0.00,inf,500.00,574.70,-37.00,547.00,-21263.96
20,0.19,10.00,0.00,inf,500.00,574.70,-1561.67,2071.67,-897492.23
21,0.19,10.00,0.00,inf,500.00,574.70,-1114.00,1624.00,-640217.51
22,0.19,10.00,0.00,inf,500.00,574.70,-2020.67,2530.67,-1161280.23
23,0.19,10.00,0.00,inf,500.00,574.70,-456.00,966.00,-262063.90
24,0.20,10.00,0.00,inf,500.00,574.70,-1516.33,2026.33,-871439.09
25,0.20,10.00,0.00,inf,500.00,574.70,-2586.33,3096.33,-1486369.73
26,0.20,10.00,0.00,inf,500.00,574.70,-776.33,1286.33,-446159.96
27,0.21,10.00,0.00,inf,500.00,574.70,-484.67,994.67,-278538.68
28,0.21,10.00,7.00,inf,500.00,574.70,10.00,493.00,5747.02
29,0.21,10.00,0.00,inf,500.00,574.70,-1271.67,1781.67,-730828.78
30,0.21,10.00,0.00,inf,500.00,574.70,-305.67,815.67,-175667.10
31,0.22,10.00,0.00,inf,500.00,545.67,-2976.33,3486.33,-1624100.63
32,0.22,10.00,0.00,inf,500.00,545.67,-1488.00,1998.00,-811959.37
33,0.22,10.00,0.00,inf,500.00,545.67,-208.67,718.67,-113863.48
34,0.22,10.00,0.00,inf,500.00,545.67,-1411.00,1921.00,-769942.66
35,0.23,10.00,0.00,inf,500.00,545.67,-330.67,840.67,-180435.42
36,0.23,10.00,0.00,inf,500.00,545.67,-1573.33,2083.33,-858523.35
37,0.22,10.00,49.67,inf,500.00,545.67,10.00,450.33,5456.72
38,0.22,10.00,0.00,inf,500.00,545.67,-488.67,998.67,-266651.53
39,0.22,10.00,0.00,inf,500.00,545.67,-415.33,925.33,-226635.61
40,0.23,10.00,0.00,inf,500.00,545.67,-711.00,1221.00,-387972.52
41,0.23,10.00,0.00,inf,500.00,545.67,-840.67,1350.67,-458727.94
42,0.23,10.00,0.00,inf,500.00,545.67,-786.00,1296.00,-428897.89
43,0.23,10.00,0.00,inf,500.00,545.67,-1198.33,1708.33,-653896.49
44,0.24,10.00,0.00,inf,500.00,545.67,-1375.33,1885.33,-750480.37
45,0.24,10.00,0.00,inf,500.00,545.67,-1201.33,1711.33,-655533.51
46,0.24,10.00,0.00,inf,500.00,574.70,-1557.67,2067.67,-895193.42
47,0.25,10.00,0.00,inf,500.00,574.70,-2725.33,3235.33,-1566253.24
48,0.25,10.00,0.00,inf,500.00,574.70,-1175.67,1685.67,-675657.44
49,0.25,10.00,0.00,inf,500.00,574.70,-1822.33,2332.33,-1047297.76
50,0.25,10.00,0.00,inf,500.00,574.70,-1192.00,1702.00,-685044.23
51,0.24,10.00,76.67,inf,500.00,574.70,10.00,423.33,5747.02
52,0.24,10.00,0.00,inf,500.00,574.70,-266.33,776.33,-153062.17
53,0.24,10.00,0.00,inf,500.00,574.70,-53.33,563.33,-30650.75
54,0.24,10.00,0.00,inf,500.00,574.70,-1627.67,2137.67,-935422.53
55,0.22,10.00,85.00,inf,500.00,574.70,10.00,415.00,5747.02
56,0.23,10.00,0.00,inf,500.00,574.70,-1276.67,1786.67,-733702.29
57,0.23,10.00,0.00,inf,500.00,574.70,-682.67,1192.67,-392329.58
58,0.23,10.00,0.00,inf,500.00,574.70,-1843.67,2353.67,-1059558.06
59,0.23,10.00,0.00,inf,500.00,574.70,-1716.33,2226.33,-986379.40
60,0.24,10.00,0.00,inf,500.00,574.70,-226.67,736.67,-130265.68
61,0.24,10.00,0.00,inf,500.00,545.67,-874.67,1384.67,-477280.78
62,0.24,10.00,0.00,inf,500.00,545.67,-1271.67,1781.67,-693912.41
63,0.23,10.00,50.33,inf,500.00,545.67,10.00,449.67,5456.72
64,0.23,10.00,0.00,inf,500.00,545.67,-1840.00,2350.00,-1004035.78
65,0.24,10.00,0.00,inf,500.00,545.67,-118.00,628.00,-64389.25
66,0.24,10.00,0.00,inf,500.00,545.67,-889.00,1399.00,-485102.07
67,0.24,10.00,0.00,inf,500.00,545.67,-1671.00,2181.00,-911817.28
68,0.25,10.00,0.00,inf,500.00,545.67,-1128.67,1638.67,-615881.37
69,0.25,10.00,0.00,inf,500.00,545.67,-7.33,517.33,-4001.59
70,0.24,10.00,24.67,inf,500.00,545.67,10.00,475.33,5456.72
71,0.25,10.00,0.00,inf,500.00,545.67,-809.67,1319.67,-441812.12
72,0.25,10.00,0.00,inf,500.00,545.67,-3.67,513.67,-2000.80
73,0.25,10.00,0.00,inf,500.00,545.67,-1821.33,2331.33,-993849.91
74,0.26,10.00,0.00,inf,500.00,545.67,-1086.33,1596.33,-592781.27
