0,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
1,0.15,5.00,0.00,inf,0.00,584.23,-267.00,272.00,-155988.60
2,0.15,5.00,0.00,inf,500.00,584.23,-361.40,866.40,-211139.63
3,0.15,5.00,0.00,inf,500.00,584.23,-855.13,1360.13,-499591.96
4,0.16,5.00,0.00,inf,500.00,584.23,-91.27,596.27,-53320.45
5,0.16,5.00,0.00,inf,500.00,584.23,-770.87,1275.87,-450361.10
6,0.11,5.00,191.20,inf,500.00,584.23,5.00,308.80,2921.13
7,0.11,5.00,0.00,inf,500.00,584.23,-203.53,708.53,-118909.66
8,0.04,5.00,250.13,inf,500.00,584.23,5.00,249.87,2921.13
9,0.04,5.00,0.00,inf,500.00,584.23,-810.07,1315.07,-473262.80
10,0.04,5.00,0.00,inf,500.00,584.23,-175.80,680.80,-102707.10
11,0.00,5.00,148.67,inf,500.00,584.23,183.53,172.80,107225.12
12,0.00,5.00,0.00,inf,500.00,584.23,-655.67,1160.67,-383058.15
13,0.00,5.00,0.00,inf,500.00,584.23,-67.67,572.67,-39532.69
14,0.01,5.00,0.00,inf,500.00,584.23,-175.80,680.80,-102707.10
15,0.01,5.00,0.00,inf,500.00,584.23,-196.73,701.73,-114936.92
16,0.00,5.00,25.00,inf,500.00,574.70,87.87,392.13,50497.11
17,0.00,5.00,0.00,inf,500.00,574.70,-75.40,580.40,-43332.50
18,0.00,5.00,10.00,inf,500.00,574.70,112.73,382.27,64788.02
19,0.00,5.00,5.00,inf,500.00,574.70,281.20,218.80,161606.07
20,0.00,5.00,0.00,inf,500.00,574.70,-323.67,828.67,-186011.73
21,0.00,5.00,0.00,inf,500.00,574.70,-144.60,649.60,-83101.84
22,0.01,5.00,0.00,inf,500.00,574.70,-507.27,1012.27,-291526.93
23,0.00,5.00,20.00,inf,500.00,574.70,98.60,386.40,56665.57
24,0.00,5.00,0.00,inf,500.00,574.70,-305.53,810.53,-175590.47
25,0.00,5.00,0.00,inf,500.00,574.70,-733.53,1238.53,-421562.73
26,0.01,5.00,0.00,inf,500.00,574.70,-9.53,514.53,-5478.82
27,0.00,5.00,20.00,inf,500.00,574.70,87.13,397.87,50075.66
28,0.00,5.00,5.00,inf,500.00,574.70,302.80,197.20,174019.62
29,0.00,5.00,0.00,inf,500.00,574.70,-207.67,712.67,-119346.35
30,0.00,5.00,10.00,inf,500.00,574.70,168.73,326.27,96971.31
31,0.00,5.00,0.00,inf,500.00,545.67,-889.53,1394.53,-485393.10
32,0.00,5.00,0.00,inf,500.00,545.67,-294.20,799.20,-160536.59
33,0.00,5.00,15.00,inf,500.00,545.67,202.53,287.47,110516.69
34,0.00,5.00,0.00,inf,500.00,545.67,-263.40,768.40,-143729.91
35,0.00,5.00,10.00,inf,500.00,545.67,158.73,336.27,86616.28
36,0.00,5.00,0.00,inf,500.00,545.67,-328.33,833.33,-179162.18
37,0.00,5.00,10.00,inf,500.00,545.67,314.87,180.13,171813.80
38,0.00,5.00,5.00,inf,500.00,545.67,100.53,399.47,54858.19
39,0.00,5.00,5.00,inf,500.00,545.67,129.87,370.13,70864.55
40,0.00,5.00,5.00,inf,500.00,545.67,11.60,488.40,6329.79
41,0.00,5.00,0.00,inf,500.00,545.67,-35.27,540.27,-19244.02
42,0.00,5.00,0.00,inf,500.00,545.67,-13.40,518.40,-7312.00
43,0.01,5.00,0.00,inf,500.00,545.67,-178.33,683.33,-97311.44
44,0.01,5.00,0.00,inf,500.00,545.67,-249.13,754.13,-135944.99
45,0.01,5.00,0.00,inf,500.00,545.67,-179.53,684.53,-97966.25
46,0.01,5.00,0.00,inf,500.00,574.70,-322.07,827.07,-185092.21
47,0.01,5.00,0.00,inf,500.00,574.70,-789.13,1294.13,-453516.14
48,0.01,5.00,0.00,inf,500.00,574.70,-169.27,674.27,-97277.81
49,0.01,5.00,0.00,inf,500.00,574.70,-427.93,932.93,-245933.94
50,0.02,5.00,0.00,inf,500.00,574.70,-175.80,680.80,-101032.53
51,0.00,5.00,55.00,inf,500.00,574.70,280.67,169.33,161299.56
52,0.00,5.00,5.00,inf,500.00,574.70,189.47,310.53,108886.78
53,0.00,5.00,5.00,inf,500.00,574.70,274.67,225.33,157851.35
54,0.00,5.00,0.00,inf,500.00,574.70,-350.07,855.07,-201183.85
55,0.00,5.00,10.00,inf,500.00,574.70,329.00,166.00,189076.80
56,0.00,5.00,0.00,inf,500.00,574.70,-209.67,714.67,-120495.75
57,0.00,5.00,10.00,inf,500.00,574.70,17.93,477.07,10306.31
58,0.00,5.00,0.00,inf,500.00,574.70,-436.47,941.47,-250838.06
59,0.00,5.00,0.00,inf,500.00,574.70,-385.53,890.53,-221566.60
60,0.00,5.00,15.00,inf,500.00,574.70,195.33,294.67,112258.37
61,0.00,5.00,0.00,inf,500.00,545.67,-48.87,553.87,-26665.15
62,0.00,5.00,0.00,inf,500.00,545.67,-207.67,712.67,-113317.81
63,0.00,5.00,15.00,inf,500.00,545.67,310.13,179.87,169230.96
