PV
Date,P # [W]
2014-01-01 14:08:00,-272.0
2014-01-01 14:08:01,-866.4000000000001
2014-01-01 14:08:02,-1360.133333332
2014-01-01 14:08:03,-596.2666666680001
2014-01-01 14:08:04,-1275.866666668
2014-01-01 14:08:05,-308.8
2014-01-01 14:08:06,-708.533333332
2014-01-01 14:08:07,-249.8666666668
2014-01-01 14:08:08,-1315.066666668
2014-01-01 14:08:09,-680.8000000000001
2014-01-01 14:08:10,-172.8
2014-01-01 14:08:11,-1160.666666668
2014-01-01 14:08:12,-572.6666666680001
2014-01-01 14:08:13,-680.8000000000001
2014-01-01 14:08:14,-701.733333332
2014-01-01 14:08:15,-392.1333333332
2014-01-01 14:08:16,-580.4
2014-01-01 14:08:17,-382.2666666668
2014-01-01 14:08:18,-218.8
2014-01-01 14:08:19,-828.666666668
2014-01-01 14:08:20,-649.6
2014-01-01 14:08:21,-1012.266666668
2014-01-01 14:08:22,-386.4
2014-01-01 14:08:23,-810.533333332
2014-01-01 14:08:24,-1238.5333333320002
2014-01-01 14:08:25,-514.533333332
2014-01-01 14:08:26,-397.8666666668
2014-01-01 14:08:27,-197.2
2014-01-01 14:08:28,-712.6666666680001
2014-01-01 14:08:29,-326.2666666668
2014-01-01 14:08:30,-1394.5333333320002
2014-01-01 14:08:31,-799.2
2014-01-01 14:08:32,-287.4666666668
2014-01-01 14:08:33,-768.4000000000001
2014-01-01 14:08:34,-336.2666666668
2014-01-01 14:08:35,-833.3333333320002
2014-01-01 14:08:36,-180.1333333332
2014-01-01 14:08:37,-399.4666666668
2014-01-01 14:08:38,-370.1333333332
2014-01-01 14:08:39,-488.4
2014-01-01 14:08:40,-540.2666666680001
2014-01-01 14:08:41,-518.4
2014-01-01 14:08:42,-683.333333332
2014-01-01 14:08:43,-754.133333332
2014-01-01 14:08:44,-684.533333332
2014-01-01 14:08:45,-827.0666666679999
2014-01-01 14:08:46,-1294.133333332
2014-01-01 14:08:47,-674.2666666680001
2014-01-01 14:08:48,-932.933333332
2014-01-01 14:08:49,-680.8000000000001
2014-01-01 14:08:50,-169.33333333320002
2014-01-01 14:08:51,-310.53333333320006
2014-01-01 14:08:52,-225.3333333332
2014-01-01 14:08:53,-855.0666666679999
2014-01-01 14:08:54,-166.0
2014-01-01 14:08:55,-714.6666666680001
2014-01-01 14:08:56,-477.066666668
2014-01-01 14:08:57,-941.466666668
2014-01-01 14:08:58,-890.5333333320001
2014-01-01 14:08:59,-294.6666666668
2014-01-01 14:09:00,-553.866666668
2014-01-01 14:09:01,-712.6666666680001
2014-01-01 14:09:02,-179.86666666680003
2014-01-01 14:09:03,-940.0
2014-01-01 14:09:04,-251.2
2014-01-01 14:09:05,-559.6
2014-01-01 14:09:06,-872.4000000000001
2014-01-01 14:09:07,-655.466666668
2014-01-01 14:09:08,-206.93333333320004
2014-01-01 14:09:09,-190.1333333332
2014-01-01 14:09:10,-527.866666668
2014-01-01 14:09:11,-205.4666666668
2014-01-01 14:09:12,-932.533333332
2014-01-01 14:09:13,-638.533333332
2014-01-01 14:09:14,-599.2
2014-01-01 14:09:15,-334.1333333332
2014-01-01 14:09:16,-550.133333332
2014-01-01 14:09:17,-348.2666666668
2014-01-01 14:09:18,-386.4
2014-01-01 14:09:19,-621.066666668
2014-01-01 14:09:20,-688.4000000000001
2014-01-01 14:09:21,-759.6
2014-01-01 14:09:22,-433.8666666680001
2014-01-01 14:09:23,-924.933333332
2014-01-01 14:09:24,-684.8000000000001
2014-01-01 14:09:25,-921.2
2014-01-01 14:09:26,-683.066666668
2014-01-01 14:09:27,-505.8666666680001
2014-01-01 14:09:28,-660.533333332
2014-01-01 14:09:29,-662.133333332
2014-01-01 14:09:30,-778.8000000000001
2014-01-01 14:09:31,-965.066666668
2014-01-01 14:09:32,-937.3333333320002
2014-01-01 14:09:33,-581.866666668
2014-01-01 14:09:34,-907.733333332
2014-01-01 14:09:35,-371.8666666668
2014-01-01 14:09:36,-534.2666666680001
2014-01-01 14:09:37,-536.933333332
2014-01-01 14:09:38,-510.4
2014-01-01 14:09:39,-755.6
2014-01-01 14:09:40,-753.466666668
2014-01-01 14:09:42,-392.2666666668
2014-01-01 14:09:43,-350.8
2014-01-01 14:09:44,-732.2666666680001
2014-01-01 14:09:45,-666.6666666680001
2014-01-01 14:09:46,-681.466666668
2014-01-01 14:09:47,-764.6666666680001
2014-01-01 14:09:48,-589.6
2014-01-01 14:09:49,-512.0
2014-01-01 14:09:50,-582.8000000000001
2014-01-01 14:09:51,-556.2666666680001
2014-01-01 14:09:52,-1210.133333332
2014-01-01 14:09:53,-507.2000000000001
2014-01-01 14:09:54,-763.2
2014-01-01 14:09:55,-802.0
2014-01-01 14:09:56,-792.0
2014-01-01 14:09:57,-1225.866666668
2014-01-01 14:09:58,-732.533333332
2014-01-01 14:09:59,-745.733333332
2014-01-01 14:10:00,-1020.933333332
2014-01-01 14:10:01,-679.333333332
2014-01-01 14:10:02,-824.666666668
2014-01-01 14:10:03,-679.8666666680001
2014-01-01 14:10:04,-734.6666666680001
2014-01-01 14:10:05,-818.133333332
2014-01-01 14:10:06,-1032.8
2014-01-01 14:10:07,-824.666666668
2014-01-01 14:10:08,-1288.4
2014-01-01 14:10:09,-749.733333332
2014-01-01 14:10:10,-710.6666666680001
2014-01-01 14:10:11,-748.133333332
2014-01-01 14:10:12,-1267.6
2014-01-01 14:10:13,-739.066666668
2014-01-01 14:10:14,-721.6
2014-01-01 14:10:15,-1184.4
2014-01-01 14:10:16,-802.2666666680001
2014-01-01 14:10:17,-1024.4
2014-01-01 14:10:18,-1913.866666668
2014-01-01 14:10:19,-890.4000000000001
2014-01-01 14:10:20,-1880.933333332
