0,battery_charge_level,battery_charge_rate,battery_discharge_rate,battery_max_discharge,consumption,grid_carbon,grid_power,solar_power,total_carbon
1,36000.00,0.00,0.00,inf,0.00,584.23,-272.00,272.00,-158909.74
2,36000.00,0.00,0.00,inf,0.00,584.23,-866.40,866.40,-506174.25
3,36000.00,0.00,0.00,inf,0.00,584.23,-1360.13,1360.13,-794626.58
4,36000.00,0.00,0.00,inf,0.00,584.23,-596.27,596.27,-348355.07
5,36000.00,0.00,0.00,inf,0.00,584.23,-1275.87,1275.87,-745395.72
6,36000.00,0.00,0.00,inf,0.00,584.23,-308.80,308.80,-180409.29
7,36000.00,0.00,0.00,inf,0.00,584.23,-708.53,708.53,-413944.28
8,36000.00,0.00,0.00,inf,0.00,584.23,-249.87,249.87,-145978.85
9,36000.00,0.00,0.00,inf,0.00,584.23,-1315.07,1315.07,-768297.42
10,36000.00,0.00,0.00,inf,0.00,584.23,-680.80,680.80,-397741.72
11,36000.00,0.00,0.00,inf,0.00,584.23,-172.80,172.80,-100954.42
12,36000.00,0.00,0.00,inf,0.00,584.23,-1160.67,1160.67,-678092.77
13,36000.00,0.00,0.00,inf,0.00,584.23,-572.67,572.67,-334567.31
14,36000.00,0.00,0.00,inf,0.00,584.23,-680.80,680.80,-397741.72
15,36000.00,0.00,0.00,inf,0.00,584.23,-701.73,701.73,-409971.54
16,36000.00,0.00,0.00,inf,0.00,574.70,-392.13,392.13,-225359.63
17,36000.00,0.00,0.00,inf,0.00,574.70,-580.40,580.40,-333556.77
18,36000.00,0.00,0.00,inf,0.00,574.70,-382.27,382.27,-219689.24
19,36000.00,0.00,0.00,inf,0.00,574.70,-218.80,218.80,-125744.70
20,36000.00,0.00,0.00,inf,0.00,574.70,-828.67,828.67,-476236.00
21,36000.00,0.00,0.00,inf,0.00,574.70,-649.60,649.60,-373326.12
22,36000.00,0.00,0.00,inf,0.00,574.70,-1012.27,1012.27,-581751.20
23,36000.00,0.00,0.00,inf,0.00,574.70,-386.40,386.40,-222064.67
24,36000.00,0.00,0.00,inf,0.00,574.70,-810.53,810.53,-465814.75
25,36000.00,0.00,0.00,inf,0.00,574.70,-1238.53,1238.53,-711787.01
26,36000.00,0.00,0.00,inf,0.00,574.70,-514.53,514.53,-295703.10
27,36000.00,0.00,0.00,inf,0.00,574.70,-397.87,397.87,-228654.58
28,36000.00,0.00,0.00,inf,0.00,574.70,-197.20,197.20,-113331.14
29,36000.00,0.00,0.00,inf,0.00,574.70,-712.67,712.67,-409570.63
30,36000.00,0.00,0.00,inf,0.00,574.70,-326.27,326.27,-187505.95
31,36000.00,0.00,0.00,inf,0.00,545.67,-1394.53,1394.53,-760957.26
32,36000.00,0.00,0.00,inf,0.00,545.67,-799.20,799.20,-436100.76
33,36000.00,0.00,0.00,inf,0.00,545.67,-287.47,287.47,-156862.40
34,36000.00,0.00,0.00,inf,0.00,545.67,-768.40,768.40,-419294.07
35,36000.00,0.00,0.00,inf,0.00,545.67,-336.27,336.27,-183491.18
36,36000.00,0.00,0.00,inf,0.00,545.67,-833.33,833.33,-454726.35
37,36000.00,0.00,0.00,inf,0.00,545.67,-180.13,180.13,-98293.65
38,36000.00,0.00,0.00,inf,0.00,545.67,-399.47,399.47,-217977.62
39,36000.00,0.00,0.00,inf,0.00,545.67,-370.13,370.13,-201971.26
40,36000.00,0.00,0.00,inf,0.00,545.67,-488.40,488.40,-266506.02
41,36000.00,0.00,0.00,inf,0.00,545.67,-540.27,540.27,-294808.19
42,36000.00,0.00,0.00,inf,0.00,545.67,-518.40,518.40,-282876.17
43,36000.00,0.00,0.00,inf,0.00,545.67,-683.33,683.33,-372875.61
44,36000.00,0.00,0.00,inf,0.00,545.67,-754.13,754.13,-411509.16
45,36000.00,0.00,0.00,inf,0.00,545.67,-684.53,684.53,-373530.41
46,36000.00,0.00,0.00,inf,0.00,574.70,-827.07,827.07,-475316.48
47,36000.00,0.00,0.00,inf,0.00,574.70,-1294.13,1294.13,-743740.41
48,36000.00,0.00,0.00,inf,0.00,574.70,-674.27,674.27,-387502.09
49,36000.00,0.00,0.00,inf,0.00,574.70,-932.93,932.93,-536158.22
50,36000.00,0.00,0.00,inf,0.00,574.70,-680.80,680.80,-391256.80
